Course Number,Course Title,URL,cluster,description,TRAIN
16.2,Structural Mechanics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-20-structural-mechanics-fall-2002,443,"Applies solid mechanics to analysis of high-technology structures. Structural design considerations. Review of three-dimensional elasticity theory; stress, strain, anisotropic materials, and heating effects. Two-dimensional plane stress and plane strain problems. Torsion theory for arbitrary sections. Bending of unsymmetrical section and mixed material beams. Bending, shear, and torsion of thin-wall shell beams. Buckling of columns and stability phenomena. Introduction to structural dynamics. Exercises in the design of general and aerospace structures.
","Structural Mechanics Applies solid mechanics to analysis of high-technology structures. Structural design considerations. Review of three-dimensional elasticity theory; stress, strain, anisotropic materials, and heating effects. Two-dimensional plane stress and plane strain problems. Torsion theory for arbitrary sections. Bending of unsymmetrical section and mixed material beams. Bending, shear, and torsion of thin-wall shell beams. Buckling of columns and stability phenomena. Introduction to structural dynamics. Exercises in the design of general and aerospace structures.
"
16.21,Techniques for Structural Analysis and Design,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-21-techniques-for-structural-analysis-and-design-spring-2005,142,"This course introduces analysis techniques for complex structures and the role of material properties in structural design, failure, and longevity. Students will learn about the energy principles in structural analysis and their applications to statically-indeterminate structures and solid continua. Additionally, the course will examine matrix and finite-element methods of structured analysis including bars, beams, and two-dimensional plane stress elements. Structural materials and their properties will be considered, as will metals and composites. Other topics include modes of structural failure, criteria for yielding and fracture, crack formation and fracture mechanics, and fatigue and design for longevity. Students are expected to apply these concepts to their own structural design projects.
","Techniques for Structural Analysis and Design This course introduces analysis techniques for complex structures and the role of material properties in structural design, failure, and longevity. Students will learn about the energy principles in structural analysis and their applications to statically-indeterminate structures and solid continua. Additionally, the course will examine matrix and finite-element methods of structured analysis including bars, beams, and two-dimensional plane stress elements. Structural materials and their properties will be considered, as will metals and composites. Other topics include modes of structural failure, criteria for yielding and fracture, crack formation and fracture mechanics, and fatigue and design for longevity. Students are expected to apply these concepts to their own structural design projects.
"
16.3,Feedback Control Systems (Fall 2010),https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-30-feedback-control-systems-fall-2010,552,"This course will teach fundamentals of control design and analysis using state-space methods. This includes both the practical and theoretical aspects of the topic. By the end of the course, you should be able to design controllers using state-space methods and evaluate whether these controllers are robust to some types of modeling errors and nonlinearities. You will learn to:

*   Design controllers using state-space methods and analyze using classical tools.
*   Understand impact of implementation issues (nonlinearity, delay).
*   Indicate the robustness of your control design.
*   Linearize a nonlinear system, and analyze stability.
","Feedback Control Systems (Fall 2010) This course will teach fundamentals of control design and analysis using state-space methods. This includes both the practical and theoretical aspects of the topic. By the end of the course, you should be able to design controllers using state-space methods and evaluate whether these controllers are robust to some types of modeling errors and nonlinearities. You will learn to:

*   Design controllers using state-space methods and analyze using classical tools.
*   Understand impact of implementation issues (nonlinearity, delay).
*   Indicate the robustness of your control design.
*   Linearize a nonlinear system, and analyze stability.
"
16.3,Estimation and Control of Aerospace Systems,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-30-estimation-and-control-of-aerospace-systems-spring-2004,26,"This course focuses on the design of control systems. Topics covered include: frequency domain and state space techniques; control law design using Nyquist diagrams and Bode plots; state feedback, state estimation, and the design of dynamic control laws; and elementary analysis of nonlinearities and their impact on control design. There is extensive use of computer-aided control design tools. Applications to various aerospace systems, including navigation, guidance, and control of vehicles, are also discussed.
","Estimation and Control of Aerospace Systems This course focuses on the design of control systems. Topics covered include: frequency domain and state space techniques; control law design using Nyquist diagrams and Bode plots; state feedback, state estimation, and the design of dynamic control laws; and elementary analysis of nonlinearities and their impact on control design. There is extensive use of computer-aided control design tools. Applications to various aerospace systems, including navigation, guidance, and control of vehicles, are also discussed.
"
16.36,Communication Systems Engineering,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-36-communication-systems-engineering-spring-2009,506,"This course will cover fundamentals of digital communications and networking. We will study the basics of information theory, sampling and quantization, coding, modulation, signal detection and system performance in the presence of noise. The study of data networking will include multiple access, reliable packet transmission, routing and protocols of the internet. The concepts taught in class will be discussed in the context of aerospace communication systems: aircraft communications, satellite communications, and deep space communications.
","Communication Systems Engineering This course will cover fundamentals of digital communications and networking. We will study the basics of information theory, sampling and quantization, coding, modulation, signal detection and system performance in the presence of noise. The study of data networking will include multiple access, reliable packet transmission, routing and protocols of the internet. The concepts taught in class will be discussed in the context of aerospace communication systems: aircraft communications, satellite communications, and deep space communications.
"
16.4,Human Factors Engineering (Fall 2011),https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-400-human-factors-engineering-fall-2011,9,"This course is designed to provide both undergraduate and graduate students with a fundamental understanding of human factors that must be taken into account in the design and engineering of complex aviation and space systems. The primary focus is the derivation of human engineering design criteria from sensory, motor, and cognitive sources to include principles of displays, controls and ergonomics, manual control, the nature of human error, basic experimental design, and human-computer interaction in supervisory control settings. Undergraduate students will demonstrate proficiency through aviation accident case presentations, quizzes, homework assignments, and hands-on projects. Graduate students will complete all the undergraduate assignments; however, they are expected to complete a research-oriented project with a final written report and an oral presentation.
","Human Factors Engineering (Fall 2011) This course is designed to provide both undergraduate and graduate students with a fundamental understanding of human factors that must be taken into account in the design and engineering of complex aviation and space systems. The primary focus is the derivation of human engineering design criteria from sensory, motor, and cognitive sources to include principles of displays, controls and ergonomics, manual control, the nature of human error, basic experimental design, and human-computer interaction in supervisory control settings. Undergraduate students will demonstrate proficiency through aviation accident case presentations, quizzes, homework assignments, and hands-on projects. Graduate students will complete all the undergraduate assignments; however, they are expected to complete a research-oriented project with a final written report and an oral presentation.
"
16.41,Principles of Autonomy and Decision Making (Fall 2010),https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-410-principles-of-autonomy-and-decision-making-fall-2010,415,"This course surveys a variety of reasoning, optimization and decision making methodologies for creating highly autonomous systems and decision support aids. The focus is on principles, algorithms, and their application, taken from the disciplines of artificial intelligence and operations research.

Reasoning paradigms include logic and deduction, heuristic and constraint-based search, model-based reasoning, planning and execution, and machine learning. Optimization paradigms include linear programming, integer programming, and dynamic programming. Decision-making paradigms include decision theoretic planning, and Markov decision processes.
","Principles of Autonomy and Decision Making (Fall 2010) This course surveys a variety of reasoning, optimization and decision making methodologies for creating highly autonomous systems and decision support aids. The focus is on principles, algorithms, and their application, taken from the disciplines of artificial intelligence and operations research.

Reasoning paradigms include logic and deduction, heuristic and constraint-based search, model-based reasoning, planning and execution, and machine learning. Optimization paradigms include linear programming, integer programming, and dynamic programming. Decision-making paradigms include decision theoretic planning, and Markov decision processes.
"
16.5,Introduction to Propulsion Systems,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-50-introduction-to-propulsion-systems-spring-2012,403,"This course presents aerospace propulsive devices as systems, with functional requirements and engineering and environmental limitations along with requirements and limitations that constrain design choices. Both air-breathing and rocket engines are covered, at a level which enables rational integration of the propulsive system into an overall vehicle design. Mission analysis, fundamental performance relations, and exemplary design solutions are presented.
","Introduction to Propulsion Systems This course presents aerospace propulsive devices as systems, with functional requirements and engineering and environmental limitations along with requirements and limitations that constrain design choices. Both air-breathing and rocket engines are covered, at a level which enables rational integration of the propulsive system into an overall vehicle design. Mission analysis, fundamental performance relations, and exemplary design solutions are presented.
"
16.61,Aerospace Dynamics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-61-aerospace-dynamics-spring-2003,125,"This undergraduate course builds upon the dynamics content of Unified Engineering, a sophomore course taught in the Department of Aeronautics and Astronautics at MIT. Vector kinematics are applied to translation and rotation of rigid bodies. Newtonian and Lagrangian methods are used to formulate and solve equations of motion. Additional numerical methods are presented for solving rigid body dynamics problems. Examples and problems describe applications to aircraft flight dynamics and spacecraft attitude dynamics.
","Aerospace Dynamics This undergraduate course builds upon the dynamics content of Unified Engineering, a sophomore course taught in the Department of Aeronautics and Astronautics at MIT. Vector kinematics are applied to translation and rotation of rigid bodies. Newtonian and Lagrangian methods are used to formulate and solve equations of motion. Additional numerical methods are presented for solving rigid body dynamics problems. Examples and problems describe applications to aircraft flight dynamics and spacecraft attitude dynamics.
"
16.621,Experimental Projects I,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-621-experimental-projects-i-spring-2003,468,"The Experimental Project Lab in the Department of Aeronautics and Astronautics is a two-semester course sequence: _16.621 Experimental Projects I_ (this course) and _[16.622 Experimental Projects II](/courses/16-622-experimental-projects-ii-fall-2003/)_. This site offers material on 16.621. In the course, two-person teams initiate a project of their own conception and design in 16.621 and then complete it in 16.622. For many students, this is a first encounter with research standards and techniques. It is a complicated course that requires a lot of interaction and support and also access to facilities and materials, but it is rewarding for students to explore an hypothesis under the guidance of a faculty advisor.

This OCW site presents the building block materials of the course, which can provide only a profile of the course because the most important learning elements are the interactions between student team, faculty, project advisor, and shop staff and also between student team members. However, this site offers some of the preparation and guidance materials for students embarking on an experimental project. To emphasize the focus on communication skills, a set of [study materials](/courses/16-621-experimental-projects-i-spring-2003/pages/study-materials) and examples of [student work](/courses/16-621-experimental-projects-i-spring-2003/pages/projects) are provided.
","Experimental Projects I The Experimental Project Lab in the Department of Aeronautics and Astronautics is a two-semester course sequence: _16.621 Experimental Projects I_ (this course) and _[16.622 Experimental Projects II](/courses/16-622-experimental-projects-ii-fall-2003/)_. This site offers material on 16.621. In the course, two-person teams initiate a project of their own conception and design in 16.621 and then complete it in 16.622. For many students, this is a first encounter with research standards and techniques. It is a complicated course that requires a lot of interaction and support and also access to facilities and materials, but it is rewarding for students to explore an hypothesis under the guidance of a faculty advisor.

This OCW site presents the building block materials of the course, which can provide only a profile of the course because the most important learning elements are the interactions between student team, faculty, project advisor, and shop staff and also between student team members. However, this site offers some of the preparation and guidance materials for students embarking on an experimental project. To emphasize the focus on communication skills, a set of [study materials](/courses/16-621-experimental-projects-i-spring-2003/pages/study-materials) and examples of [student work](/courses/16-621-experimental-projects-i-spring-2003/pages/projects) are provided.
"
16.622,Experimental Projects II,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-622-experimental-projects-ii-fall-2003,468,"The Experimental Project Lab in the Department of Aeronautics and Astronautics is a two-semester course sequence: _[16.621 Experimental Projects I](/courses/16-621-experimental-projects-i-spring-2003/)_ and _16.622 Experimental Projects II_ (this course). Students in 16.622 gain practical insight and improved understanding of engineering experimentation through design and execution of ""project"" experiments. Building upon work in course 16.621, students construct and test equipment, make systematic experimental measurements of phenomena, analyze data, and compare theoretical predictions with results. Deliverables comprise a written final project report and formal oral presentations. Instructions on oral presentations and multi-section reporting are given. Experimental Projects I and II provide a valuable link between theory (16.621) and practice (16.622).
","Experimental Projects II The Experimental Project Lab in the Department of Aeronautics and Astronautics is a two-semester course sequence: _[16.621 Experimental Projects I](/courses/16-621-experimental-projects-i-spring-2003/)_ and _16.622 Experimental Projects II_ (this course). Students in 16.622 gain practical insight and improved understanding of engineering experimentation through design and execution of ""project"" experiments. Building upon work in course 16.621, students construct and test equipment, make systematic experimental measurements of phenomena, analyze data, and compare theoretical predictions with results. Deliverables comprise a written final project report and formal oral presentations. Instructions on oral presentations and multi-section reporting are given. Experimental Projects I and II provide a valuable link between theory (16.621) and practice (16.622).
"
16.652,Inventions and Patents,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-901-inventions-and-patents-fall-2005,259,"This course explores the history of private and public rights in scientific discoveries and applied engineering, leading to the development of worldwide patent systems. The classes of invention protectable under the patent laws of the U.S., including the procedures in protecting inventions in the Patent Office and the courts will be examined. A review of past cases involving inventions and patents in:

1.  the chemical process industry and medical pharmaceutical, biological, and genetic-engineering fields;
2.  devices in the mechanical, ocean exploration, civil, and/or aeronautical fields;
3.  the electrical, computer, software, and electronic areas, including key radio, solid-state, computer and software inventions; and also
4.  software protection afforded under copyright laws.

Periodic joint real-time class sessions and discussions by video-audio Internet conferencing, with other universities will also be conducted.
","Inventions and Patents This course explores the history of private and public rights in scientific discoveries and applied engineering, leading to the development of worldwide patent systems. The classes of invention protectable under the patent laws of the U.S., including the procedures in protecting inventions in the Patent Office and the courts will be examined. A review of past cases involving inventions and patents in:

1.  the chemical process industry and medical pharmaceutical, biological, and genetic-engineering fields;
2.  devices in the mechanical, ocean exploration, civil, and/or aeronautical fields;
3.  the electrical, computer, software, and electronic areas, including key radio, solid-state, computer and software inventions; and also
4.  software protection afforded under copyright laws.

Periodic joint real-time class sessions and discussions by video-audio Internet conferencing, with other universities will also be conducted.
"
16.653,Management in Engineering,https://ocw.mit.edu/courses/mechanical-engineering/2-96-management-in-engineering-fall-2012,47,"This course gives an overview of engineering management and covers topics such as financial principles, management of innovation, technology strategy, and best management practices. The focus of the course is the development of individual skills and team work. This is carried out through an exposure to management tools.
","Management in Engineering This course gives an overview of engineering management and covers topics such as financial principles, management of innovation, technology strategy, and best management practices. The focus of the course is the development of individual skills and team work. This is carried out through an exposure to management tools.
"
16.660J,Introduction to Lean Six Sigma Methods (January IAP 2012),https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-660j-introduction-to-lean-six-sigma-methods-january-iap-2012,151,"This course covers the fundamental principles, practices and tools of Lean Six Sigma methods that underlay modern organizational productivity approaches applied in aerospace, automotive, health care, and other sectors. It includes lectures, active learning exercises, a plant tour, talks by industry practitioners, and videos. One third of the course is devoted to a physical simulation of an aircraft manufacturing enterprise or a clinic to illustrate the power of Lean Six Sigma methods.

The course is offered during the Independent Activities Period (IAP), which is a special 4-week term at MIT that runs from the first week of January until the end of the month.
","Introduction to Lean Six Sigma Methods (January IAP 2012) This course covers the fundamental principles, practices and tools of Lean Six Sigma methods that underlay modern organizational productivity approaches applied in aerospace, automotive, health care, and other sectors. It includes lectures, active learning exercises, a plant tour, talks by industry practitioners, and videos. One third of the course is devoted to a physical simulation of an aircraft manufacturing enterprise or a clinic to illustrate the power of Lean Six Sigma methods.

The course is offered during the Independent Activities Period (IAP), which is a special 4-week term at MIT that runs from the first week of January until the end of the month.
"
16.682,Technology in Transportation,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-682-technology-in-transportation-spring-2011,262,"This course provides an introduction to the transportation industry's major technical challenges and considerations. For upper level undergraduates interested in learning about the transportation field in a broad but quantitative manner. Topics include road vehicle engineering, internal combustion engines, batteries and motors, electric and hybrid powertrains, urban and high speed rail transportation, water vessels, aircraft types and aerodynamics, radar, navigation, GPS, GIS. Students will complete a project on a subject of their choosing.
","Technology in Transportation This course provides an introduction to the transportation industry's major technical challenges and considerations. For upper level undergraduates interested in learning about the transportation field in a broad but quantitative manner. Topics include road vehicle engineering, internal combustion engines, batteries and motors, electric and hybrid powertrains, urban and high speed rail transportation, water vessels, aircraft types and aerodynamics, radar, navigation, GPS, GIS. Students will complete a project on a subject of their choosing.
"
16.682,Prototyping Avionics,https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-682-prototyping-avionics-spring-2006,186,"In the past building prototypes of electronic components for new projects/products was limited to using protoboards and wirewrap. Manufacturing a printed-circuit-board was limited to final production, where mistakes in the implementation meant physically cutting traces on the board and adding wire jumpers - the final products would have these fixes on them! Today that is no longer the case, while you will still cut traces and use jumpers when debugging a board, manufacturing a new final version without the errors is a simple and relatively inexpensive task. For that matter, manufacturing a prototype printed circuit board which you know is likely to have errors but which will get the design substantially closer to the final product than a protoboard setup is not only possible, but desirable. In this class, you'll learn to design, build, and debug printed-circuit-boards.
","Prototyping Avionics In the past building prototypes of electronic components for new projects/products was limited to using protoboards and wirewrap. Manufacturing a printed-circuit-board was limited to final production, where mistakes in the implementation meant physically cutting traces on the board and adding wire jumpers - the final products would have these fixes on them! Today that is no longer the case, while you will still cut traces and use jumpers when debugging a board, manufacturing a new final version without the errors is a simple and relatively inexpensive task. For that matter, manufacturing a prototype printed circuit board which you know is likely to have errors but which will get the design substantially closer to the final product than a protoboard setup is not only possible, but desirable. In this class, you'll learn to design, build, and debug printed-circuit-boards.
"
16.81,Engineering Design and Rapid Prototyping (January IAP 2007),https://ocw.mit.edu/courses/aeronautics-and-astronautics/16-810-engineering-design-and-rapid-prototyping-january-iap-2007,353,"This course provides students with an opportunity to conceive, design and implement a product, using rapid prototyping methods and computer-aid tools. The first of two phases challenges each student team to meet a set of design requirements and constraints for a structural component. A course of iteration, fabrication, and validation completes this manual design cycle. During the second phase, each team conducts design optimization using structural analysis software, with their phase one prototype as a baseline.

Acknowledgements
----------------

This course is made possible thanks to a grant by the alumni sponsored Teaching and Education Enhancement Program (Class of '51 Fund for Excellence in Education, Class of '55 Fund for Excellence in Teaching, Class of '72 Fund for Educational Innovation). The instructors gratefully acknowledge the financial support. The course was approved by the Undergraduate Committee of the MIT Department of Aeronautics and Astronautics in 2003. The instructors thank Prof. Manuel Martinez-Sanchez and the committee members for their support and suggestions.
","Engineering Design and Rapid Prototyping (January IAP 2007) This course provides students with an opportunity to conceive, design and implement a product, using rapid prototyping methods and computer-aid tools. The first of two phases challenges each student team to meet a set of design requirements and constraints for a structural component. A course of iteration, fabrication, and validation completes this manual design cycle. During the second phase, each team conducts design optimization using structural analysis software, with their phase one prototype as a baseline.

Acknowledgements
----------------

This course is made possible thanks to a grant by the alumni sponsored Teaching and Education Enhancement Program (Class of '51 Fund for Excellence in Education, Class of '55 Fund for Excellence in Teaching, Class of '72 Fund for Educational Innovation). The instructors gratefully acknowledge the financial support. The course was approved by the Undergraduate Committee of the MIT Department of Aeronautics and Astronautics in 2003. The instructors thank Prof. Manuel Martinez-Sanchez and the committee members for their support and suggestions.
"
